stop_name,daytime_routes,division,line,Neighborhood,borough,borocd,poverty_rate,poverty 100,Near poverty,In or near poverty,density,2019  average,2020 average,%increase average,percent increase edit,sum 2019,2020 sum,under18_rate,over65_rate,pct_white_nh,pct_bach_deg,pct_hh_rent_burd,mean_commute,unemployment
Hunters Point Av,7,IRT,Flushing,Sunnyside & Woodside,Q,402,18.8,14.8,28,42.8,22640,6330.690411,2364.655556,-0.629217898,-62.92%,1912867,699541,16.8,12.5,28.9,39.9,42.7,37.5,2.9
Vernon Blvd - Jackson Av,7,IRT,Flushing,Sunnyside & Woodside,Q,402,18.8,14.8,28,42.8,22640,6330.690411,2364.655556,-0.633667163,-63.37%,4679003,1690592,16.8,12.5,28.9,39.9,42.7,37.5,2.9
Newkirk Plaza,B Q,BMT,Broadway - Brighton,Flatbush & Midwood,Bk,314,21.5,20.4,26.9,47.3,55401.37931,11533.44932,4322.875,-0.582811136,-58.28%,3302124,1358738,25.1,13.1,40.8,38,48.6,42.7,4.4
34 St - 11 Av,7,IRT,Flushing,"Chelsea, Clinton",M,104,11.3,11.8,10.1,22,57358.33333,12978.71781,4862.4,-0.675565506,-67.56%,6162589,1971968,8.2,13.4,59.1,74.1,33.9,26.7,3.5
96 St,Q,IND,Second Av,Upper East Side,M,108,7.2,6.3,6.2,12.5,109960,4961.260274,2356.602778,-0.627395924,-62.74%,6203509,2279789,14.6,20.8,75.3,80.5,32.5,31.4,2
86 St,Q,IND,Second Av,Upper East Side,M,108,7.2,6.3,6.2,12.5,109960,4961.260274,2356.602778,-0.66394876,-66.39%,8386126,2779563,14.6,20.8,75.3,80.5,32.5,31.4,2
72 St,Q,IND,Second Av,Upper East Side,M,108,7.2,6.3,6.2,12.5,109960,4961.260274,2356.602778,-0.61832908,-61.83%,9542901,3592354,14.6,20.8,75.3,80.5,32.5,31.4,2
Avenue H,B Q,BMT,Broadway - Brighton,Flatbush & Midwood,Bk,314,21.5,20.4,26.9,47.3,55401.37931,11533.44932,4322.875,-0.602583475,-60.26%,1001129,392415,25.1,13.1,40.8,38,48.6,42.7,4.4
Avenue J,B Q,BMT,Broadway - Brighton,Flatbush & Midwood,Bk,314,21.5,20.4,26.9,47.3,55401.37931,11533.44932,4322.875,-0.54557633,-54.56%,1797551,805660,25.1,13.1,40.8,38,48.6,42.7,4.4
36 Av,N W,BMT,Astoria,Astoria & Long Island City,Q,401,18.1,16.7,23.3,40,30823.3871,25651.47107,10245.85,-0.578013153,-57.80%,1941170,807927,14.5,13,48.3,46.4,37.4,40,4.5
Avenue M,B Q,BMT,Broadway - Brighton,Flatbush & Midwood,Bk,314,21.5,20.4,26.9,47.3,55401.37931,11533.44932,4322.875,-0.548667892,-54.87%,1717495,764542,25.1,13.1,40.8,38,48.6,42.7,4.4
St George,SIR,SIR,Staten Island,"Port Richmond, Stapleton & Mariner's Harbor",SI,501,21.2,21.7,22.1,43.7,13018.96296,17628.32329,5109.883333,-0.681845372,-68.18%,3832986,1202777,23.1,13.1,37.7,31.2,50.5,43.6,2.9
Tompkinsville,SIR,SIR,Staten Island,"Port Richmond, Stapleton & Mariner's Harbor",SI,501,21.2,21.7,22.1,43.7,13018.96296,17628.32329,5109.883333,-0.569996238,-57.00%,216305,91483,23.1,13.1,37.7,31.2,50.5,43.6,2.9
Kings Hwy,B Q,BMT,Broadway - Brighton,"Sheepshead Bay, Gerritsen Beach & Homecrest",Bk,315,18.6,17.5,25.4,42.9,33968.08511,3830.142466,1614.866667,-0.564345285,-56.43%,6007510,2581348,22,18.3,65.5,40.2,47,46.3,3.7
Avenue U,B Q,BMT,Broadway - Brighton,"Sheepshead Bay, Gerritsen Beach & Homecrest",Bk,315,18.6,17.5,25.4,42.9,33968.08511,3830.142466,1614.866667,-0.57323896,-57.32%,2344901,987004,22,18.3,65.5,40.2,47,46.3,3.7
Neck Rd,B Q,BMT,Broadway - Brighton,"Sheepshead Bay, Gerritsen Beach & Homecrest",Bk,315,18.6,17.5,25.4,42.9,33968.08511,3830.142466,1614.866667,-0.575704631,-57.57%,1395956,584184,22,18.3,65.5,40.2,47,46.3,3.7
Sheepshead Bay,B Q,BMT,Broadway - Brighton,"Sheepshead Bay, Gerritsen Beach & Homecrest",Bk,315,18.6,17.5,25.4,42.9,33968.08511,3830.142466,1614.866667,-0.575689872,-57.57%,4225276,1773126,22,18.3,65.5,40.2,47,46.3,3.7
Brighton Beach,B Q,BMT,Broadway - Brighton,Brighton Beach & Coney Island,Bk,313,24.4,25.1,28.9,54,32586.875,9381.605479,3532.3,-0.549760444,-54.98%,3791850,1683854,19.9,23.9,55.9,38.6,45.2,46.8,4.5
Ocean Pkwy,Q,BMT,Broadway - Brighton,Brighton Beach & Coney Island,Bk,313,24.4,25.1,28.9,54,32586.875,9381.605479,3532.3,-0.55084095,-55.08%,1052804,467680,19.9,23.9,55.9,38.6,45.2,46.8,4.5
W 8 St - NY Aquarium,F Q,BMT,Broadway - Brighton,Brighton Beach & Coney Island,Bk,313,24.4,25.1,28.9,54,32586.875,9381.605479,3532.3,-0.617583101,-61.76%,846011,319097,19.9,23.9,55.9,38.6,45.2,46.8,4.5
Coney Island - Stillwell Av,D F N Q,BMT,Sea Beach / West End / Culver / Brighton,Brighton Beach & Coney Island,Bk,313,24.4,25.1,28.9,54,32586.875,9381.605479,3532.3,-0.580499836,-58.05%,4761740,1970187,19.9,23.9,55.9,38.6,45.2,46.8,4.5
9 Av,D,BMT,West End,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.524096717,-52.41%,1722926,808714,36.8,12.1,71.1,28.5,60.3,36.3,3.2
39 Av,N W,BMT,Astoria,Astoria & Long Island City,Q,401,18.1,16.7,23.3,40,30823.3871,25651.47107,10245.85,-0.555243679,-55.52%,779154,366918,14.5,13,48.3,46.4,37.4,40,4.5
Fort Hamilton Pkwy,D,BMT,West End,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.488485804,-48.85%,1218175,614578,36.8,12.1,71.1,28.5,60.3,36.3,3.2
6 Av,L,BMT,Canarsie,"Greenwich Village, Soho",M,102,8.8,7.9,6.7,14.6,64297.14286,#DIV/0!,5298.277778,-0.676636032,-67.66%,14836230,4731783,12.7,12.8,72.2,82.2,30.1,25.4,2.8
161 St - Yankee Stadium,B D,IND,Concourse,"Concourse, Highbridge ",Bx,204,32.4,34.7,36.2,70.9,73220.5,7448.131507,2786.330556,-0.62622227,-62.62%,8340129,3074651,27.3,9.9,2,15.6,53.9,42,6.3
34 St - Herald Sq,B D F M,IND,6th Av - Culver,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.689390634,-68.94%,39654757,12148411,8.2,13.4,59.1,74.1,33.9,26.7,3.5
50 St,D,BMT,West End,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.463540239,-46.35%,985126,521241,36.8,12.1,71.1,28.5,60.3,36.3,3.2
Grand Central - 42 St,7,IRT,Flushing,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.72656117,-72.66%,45186782,12186563,8.2,13.4,59.1,74.1,33.9,26.7,3.5
Times Sq - 42 St,7,IRT,Flushing,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.703719644,-70.37%,65602365,19170436,8.2,13.4,59.1,74.1,33.9,26.7,3.5
51 St,6,IRT,Lexington Av,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.729649704,-72.96%,6407482,1708535,8.2,13.4,59.1,74.1,33.9,26.7,3.5
62 St,D,BMT,West End,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.528063549,-52.81%,1518291,714552,21.3,15.6,40.2,30.5,49.9,46.6,4.1
Atlantic Av - Barclays Ctr,D N R,BMT,4th Av,"Park Slope, Carroll Gardens & Red Hook",Bk,306,9.6,10,8.8,18.9,33777.09677,2843.870523,1338.936111,-0.620557285,-62.06%,14115995,5297352,21.2,10.4,64.1,73,28.8,38.4,4
8 Av,L,BMT,Canarsie,"Chelsea, Clinton",M,104,11.3,11.8,10.1,22,57358.33333,12978.71781,4862.4,-0.702457661,-70.25%,14371716,4217616,8.2,13.4,59.1,74.1,33.9,26.7,3.5
55 St,D,BMT,West End,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.474671359,-47.47%,648647,336085,36.8,12.1,71.1,28.5,60.3,36.3,3.2
Borough Hall,2 3,IRT,Clark St,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.676256793,-67.63%,10314393,3293472,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Delancey St,F,IND,6th Av - Culver,Chinatown & Lower East Side,M,103,19.3,21.5,27.4,48.8,96045.29412,3085.863014,1290.611111,-0.62571445,-62.57%,8912766,3290222,11.4,17.9,33.3,43.3,38.4,31.3,3.6
Lorimer St,L,BMT,Canarsie,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.6277223,-62.77%,4736196,1739027,22,9.6,63,49.6,40.2,34.5,3.7
Jay St - MetroTech,A C F,IND,8th Av - Fulton St,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.675584058,-67.56%,12590903,4028735,17.9,10.7,46.4,62.9,31.2,35.2,4.6
71 St,D,BMT,West End,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.578135955,-57.81%,1746102,726527,21.3,15.6,40.2,30.5,49.9,46.6,4.1
