stop_name,daytime_routes,division,line,Neighborhood,borough,borocd,poverty_rate,poverty 100,Near poverty,In or near poverty,density,2019  average,2020 average,%increase average,percent increase edit,sum 2019,2020 sum,under18_rate,over65_rate,pct_white_nh,pct_bach_deg,pct_hh_rent_burd,mean_commute,unemployment
Central Av,M,BMT,Myrtle Av,Bushwick,Bk,304,24.8,24.6,28.9,53.5,56317,2398.692308,1259.936111,-0.605619896,-60.56%,1478152,579733,20.5,9.1,18.9,29,47.2,41.3,5.6
3 Av,L,BMT,Canarsie,Chinatown & Lower East Side,M,103,19.3,21.5,27.4,48.8,96045.29412,3085.863014,1290.611111,-0.576292527,-57.63%,1715330,716842,11.4,17.9,33.3,43.3,38.4,31.3,3.6
1 Av,L,BMT,Canarsie,Chinatown & Lower East Side,M,103,19.3,21.5,27.4,48.8,96045.29412,3085.863014,1290.611111,-0.602302664,-60.23%,5377048,2109144,11.4,17.9,33.3,43.3,38.4,31.3,3.6
Bedford Av,L,BMT,Canarsie,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.637470666,-63.75%,7862356,2811289,22,9.6,63,49.6,40.2,34.5,3.7
Graham Av,L,BMT,Canarsie,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.625902073,-62.59%,2718568,1003079,22,9.6,63,49.6,40.2,34.5,3.7
Grand St,L,BMT,Canarsie,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.570464338,-57.05%,1889182,800355,22,9.6,63,49.6,40.2,34.5,3.7
Montrose Av,L,BMT,Canarsie,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.582541784,-58.25%,1947833,802000,22,9.6,63,49.6,40.2,34.5,3.7
Morgan Av,L,BMT,Canarsie,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.600471929,-60.05%,2111182,831922,22,9.6,63,49.6,40.2,34.5,3.7
Jefferson St,L,BMT,Canarsie,Bushwick,Bk,304,24.8,24.6,28.9,53.5,56317,2398.692308,1259.936111,-0.601721594,-60.17%,2247786,882981,20.5,9.1,18.9,29,47.2,41.3,5.6
DeKalb Av,L,BMT,Canarsie,Bushwick,Bk,304,24.8,24.6,28.9,53.5,56317,2398.692308,1259.936111,-0.545667525,-54.57%,3299499,1494917,20.5,9.1,18.9,29,47.2,41.3,5.6
Halsey St,L,BMT,Canarsie,"Ridgewood, Glendale & Middle Village",Q,405,16.8,15.6,21.3,36.9,22558.66667,8375.747945,3130.233333,-0.548726374,-54.87%,2201035,982354,21.9,12.4,51.7,28.4,40.2,42.3,3.3
28 St,R W,BMT,Broadway - Brighton,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.710661398,-71.07%,4026396,1149033,8.2,13.4,59.1,74.1,33.9,26.7,3.5
Wilson Av,L,BMT,Canarsie,Bushwick,Bk,304,24.8,24.6,28.9,53.5,56317,2398.692308,1259.936111,-0.551007926,-55.10%,1313969,581880,20.5,9.1,18.9,29,47.2,41.3,5.6
Bushwick Av - Aberdeen St,L,BMT,Canarsie,Bushwick,Bk,304,24.8,24.6,28.9,53.5,56317,2398.692308,1259.936111,-0.51223411,-51.22%,609833,293381,20.5,9.1,18.9,29,47.2,41.3,5.6
Atlantic Av,L,BMT,Canarsie,Brownsville & Ocean Hill,Bk,316,29.4,29.6,31.1,60.7,45509.47368,2488.638356,985.7027778,-0.504318003,-50.43%,498192,243562,24.4,11.5,2.6,14.4,55.2,46.9,7
Sutter Av,L,BMT,Canarsie,Brownsville & Ocean Hill,Bk,316,29.4,29.6,31.1,60.7,45509.47368,2488.638356,985.7027778,-0.537467384,-53.75%,1066012,486311,24.4,11.5,2.6,14.4,55.2,46.9,7
Livonia Av,L,BMT,Canarsie,Brownsville & Ocean Hill,Bk,316,29.4,29.6,31.1,60.7,45509.47368,2488.638356,985.7027778,-0.474740421,-47.47%,873124,453577,24.4,11.5,2.6,14.4,55.2,46.9,7
New Lots Av,L,BMT,Canarsie,Brownsville & Ocean Hill,Bk,316,29.4,29.6,31.1,60.7,45509.47368,2488.638356,985.7027778,-0.524373204,-52.44%,1274563,609603,24.4,11.5,2.6,14.4,55.2,46.9,7
E 105 St,L,BMT,Canarsie,Canarsie & Flatlands,Bk,318,14.6,13.9,21.3,35.2,22769.76471,4844.767123,1776.136111,-0.529185278,-52.92%,1032325,482017,23.4,14.9,22.7,31.8,41.9,48.3,4.1
Canarsie - Rockaway Pkwy,L,BMT,Canarsie,Canarsie & Flatlands,Bk,318,14.6,13.9,21.3,35.2,22769.76471,4844.767123,1776.136111,-0.597928687,-59.79%,3394597,1323624,23.4,14.9,22.7,31.8,41.9,48.3,4.1
23 St,R W,BMT,Broadway - Brighton,"Chelsea, Clinton",M,104,11.3,11.8,10.1,22,57358.33333,12978.71781,4862.4,-0.722841317,-72.28%,7107261,1942855,8.2,13.4,59.1,74.1,33.9,26.7,3.5
Park Pl,S,BMT,Franklin Shuttle,Crown Heights North & Prospect Heights,Bk,308,20.4,21.1,23.2,44.3,60198.125,19471.94795,5396.819444,-0.593514692,-59.35%,524091,210117,19.3,11.3,22.3,41.2,42.9,41.3,4.6
Inwood - 207 St,A,IND,8th Av - Fulton St,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.597004911,-59.70%,3251614,1292434,17.4,14.1,18.9,33.3,43.4,41.2,6.1
Dyckman St,A,IND,8th Av - Fulton St,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.596940718,-59.69%,2254356,896192,17.4,14.1,18.9,33.3,43.4,41.2,6.1
190 St,A,IND,8th Av - Fulton St,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.64899695,-64.90%,1541283,536524,17.4,14.1,18.9,33.3,43.4,41.2,6.1
181 St,A,IND,8th Av - Fulton St,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.623486619,-62.35%,3424286,1271628,17.4,14.1,18.9,33.3,43.4,41.2,6.1
175 St,A,IND,8th Av - Fulton St,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.625188018,-62.52%,4209709,1556235,17.4,14.1,18.9,33.3,43.4,41.2,6.1
163 St - Amsterdam Av,C,IND,8th Av - Fulton St,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.578379478,-57.84%,1398002,581352,17.4,14.1,18.9,33.3,43.4,41.2,6.1
155 St,C,IND,8th Av - Fulton St,"Hamilton Hts, Manhattanville & West Harlem",M,109,20.7,20.2,25.8,46,73462,3623.339726,1691.225,-0.603918836,-60.39%,908353,354853,15.1,12.4,27.6,45.4,45.1,36.5,3.8
145 St,B D,IND,Concourse,"Hamilton Hts, Manhattanville & West Harlem",M,109,20.7,20.2,25.8,46,73462,3623.339726,1691.225,-0.603433957,-60.34%,7483765,2959586,15.1,12.4,27.6,45.4,45.1,36.5,3.8
135 St,B C,IND,8th Av - Fulton St,"Hamilton Hts, Manhattanville & West Harlem",M,109,20.7,20.2,25.8,46,73462,3623.339726,1691.225,-0.633390818,-63.34%,1768340,639409,15.1,12.4,27.6,45.4,45.1,36.5,3.8
125 St,A B C D,IND,8th Av - Fulton St,"Hamilton Hts, Manhattanville & West Harlem",M,109,20.7,20.2,25.8,46,73462,3623.339726,1691.225,-0.600574565,-60.06%,9311484,3688506,15.1,12.4,27.6,45.4,45.1,36.5,3.8
116 St,B C,IND,8th Av - Fulton St,"Hamilton Hts, Manhattanville & West Harlem",M,109,20.7,20.2,25.8,46,73462,3623.339726,1691.225,-0.626477461,-62.65%,2310702,851276,15.1,12.4,27.6,45.4,45.1,36.5,3.8
Cathedral Pkwy (110 St),B C,IND,8th Av - Fulton St,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.634853137,-63.49%,2409375,867724,15.5,20.6,68,77,31.4,32.2,3.3
103 St,B C,IND,8th Av - Fulton St,Chinatown & Lower East Side,M,103,19.3,21.5,27.4,48.8,96045.29412,3085.863014,1290.611111,-0.633286937,-63.33%,1509355,545918,11.4,17.9,33.3,43.3,38.4,31.3,3.6
96 St,B C,IND,8th Av - Fulton St,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.626274172,-62.63%,3057148,1126884,15.5,20.6,68,77,31.4,32.2,3.3
86 St,B C,IND,8th Av - Fulton St,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.651257754,-65.13%,3238609,1113968,15.5,20.6,68,77,31.4,32.2,3.3
81 St - Museum of Natural History,B C,IND,8th Av - Fulton St,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.730208977,-73.02%,4416262,1181621,15.5,20.6,68,77,31.4,32.2,3.3
8 St - NYU,R W,BMT,Broadway - Brighton,"Greenwich Village, Soho",M,102,8.8,7.9,6.7,14.6,64297.14286,#DIV/0!,5298.277778,-0.726244255,-72.62%,5472237,1477535,12.7,12.8,72.2,82.2,30.1,25.4,2.8
72 St,B C,IND,8th Av - Fulton St,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.692432688,-69.24%,2853774,856085,15.5,20.6,68,77,31.4,32.2,3.3
50 St,C E,IND,8th Av - Fulton St,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.725665452,-72.57%,6995333,1892773,8.2,13.4,59.1,74.1,33.9,26.7,3.5
34 St - Penn Station,A C E,IND,8th Av - Fulton St,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.814491584,-81.45%,41733315,7635828,8.2,13.4,59.1,74.1,33.9,26.7,3.5
23 St,C E,IND,8th Av - Fulton St,"Chelsea, Clinton",M,104,11.3,11.8,10.1,22,57358.33333,12978.71781,4862.4,-0.692244314,-69.22%,7307136,2218007,8.2,13.4,59.1,74.1,33.9,26.7,3.5
W 4 St,A C E,IND,8th Av - Fulton St,"Greenwich Village, Soho",M,102,8.8,7.9,6.7,14.6,64297.14286,#DIV/0!,5298.277778,-0.699996223,-70.00%,14144258,4185203,12.7,12.8,72.2,82.2,30.1,25.4,2.8
Spring St,C E,IND,8th Av - Fulton St,"Greenwich Village, Soho",M,102,8.8,7.9,6.7,14.6,64297.14286,#DIV/0!,5298.277778,-0.70993808,-70.99%,4447023,1272242,12.7,12.8,72.2,82.2,30.1,25.4,2.8
Canal St,A C E,IND,8th Av - Fulton St,"Greenwich Village, Soho",M,102,8.8,7.9,6.7,14.6,64297.14286,#DIV/0!,5298.277778,-0.710132198,-71.01%,6434338,1839558,12.7,12.8,72.2,82.2,30.1,25.4,2.8
Prince St,R W,BMT,Broadway - Brighton,Battery Park City,M,101,8.8,7.9,6.7,14.6,40652,14598.75342,5420.066667,-0.734498656,-73.45%,4365772,1143240,12.7,12.8,72.2,82.2,30.1,25.4,2.8
High St,A C,IND,8th Av - Fulton St,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.717933845,-71.79%,3571747,993668,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Hoyt - Schermerhorn Sts,A C G,IND,8th Av - Fulton St,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.61774209,-61.77%,3693792,1392639,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Lafayette Av,C,IND,8th Av - Fulton St,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.629092537,-62.91%,1613384,595110,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Clinton - Washington Avs,C,IND,8th Av - Fulton St,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.671741448,-67.17%,2155955,698016,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Nostrand Av,A C,IND,8th Av - Fulton St,Bedford-Stuyvesant,Bk,303,21.2,21.6,29.6,51.3,52753.44828,2920.580822,1350.863889,-0.626134921,-62.61%,5689370,2097919,25.3,10.1,26,33.8,45.1,41.8,5.7
Kingston - Throop Avs,C,IND,8th Av - Fulton St,Bedford-Stuyvesant,Bk,303,21.2,21.6,29.6,51.3,52753.44828,2920.580822,1350.863889,-0.626570207,-62.66%,2085314,768051,25.3,10.1,26,33.8,45.1,41.8,5.7
Utica Av,A C,IND,8th Av - Fulton St,Bedford-Stuyvesant,Bk,303,21.2,21.6,29.6,51.3,52753.44828,2920.580822,1350.863889,-0.599797826,-59.98%,5208627,2055949,25.3,10.1,26,33.8,45.1,41.8,5.7
Ralph Av,C,IND,8th Av - Fulton St,Bedford-Stuyvesant,Bk,303,21.2,21.6,29.6,51.3,52753.44828,2920.580822,1350.863889,-0.568204443,-56.82%,1856483,790640,25.3,10.1,26,33.8,45.1,41.8,5.7
Rockaway Av,C,IND,8th Av - Fulton St,Brownsville & Ocean Hill,Bk,316,29.4,29.6,31.1,60.7,45509.47368,2488.638356,985.7027778,-0.577764414,-57.78%,1816972,752477,24.4,11.5,2.6,14.4,55.2,46.9,7
Liberty Av,C,IND,8th Av - Fulton St,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.548878468,-54.89%,853651,379825,25.9,11.5,3.7,14.8,49.7,44.9,4.4
Van Siclen Av,C,IND,8th Av - Fulton St,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.529719472,-52.97%,942061,436964,25.9,11.5,3.7,14.8,49.7,44.9,4.4
Shepherd Av,C,IND,8th Av - Fulton St,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.548282516,-54.83%,1003875,447256,25.9,11.5,3.7,14.8,49.7,44.9,4.4
Euclid Av,A C,IND,8th Av - Fulton St,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.525355289,-52.54%,3346473,1566627,25.9,11.5,3.7,14.8,49.7,44.9,4.4
Grant Av,A,IND,Liberty Av,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.539083264,-53.91%,1800640,818576,25.9,11.5,3.7,14.8,49.7,44.9,4.4
80 St,A,IND,Liberty Av,Richmond Hill & Woodhaven,Q,409,21.5,19.6,24.7,44.3,37715,7818.558904,2404.733146,-0.578103203,-57.81%,1322610,551873,21.8,12.1,18,27,47.7,46.5,4.2
88 St,A,IND,Liberty Av,Howard Beach & Ozone Park,Q,410,17.3,17,24.6,41.6,20064.91803,19165.29589,5257.702778,-0.550044734,-55.00%,869219,385752,20.8,14.1,21.5,22.4,50.1,46.2,4.8
Rockaway Blvd,A,IND,Liberty Av,Howard Beach & Ozone Park,Q,410,17.3,17,24.6,41.6,20064.91803,19165.29589,5257.702778,-0.542519995,-54.25%,2359714,1064734,20.8,14.1,21.5,22.4,50.1,46.2,4.8
104 St,A,IND,Liberty Av,Howard Beach & Ozone Park,Q,410,17.3,17,24.6,41.6,20064.91803,19165.29589,5257.702778,-0.543421715,-54.34%,546036,245893,20.8,14.1,21.5,22.4,50.1,46.2,4.8
111 St,A,IND,Liberty Av,Howard Beach & Ozone Park,Q,410,17.3,17,24.6,41.6,20064.91803,19165.29589,5257.702778,-0.551998438,-55.20%,773547,341803,20.8,14.1,21.5,22.4,50.1,46.2,4.8
Ozone Park - Lefferts Blvd,A,IND,Liberty Av,Howard Beach & Ozone Park,Q,410,17.3,17,24.6,41.6,20064.91803,19165.29589,5257.702778,-0.52246647,-52.25%,2295158,1081001,20.8,14.1,21.5,22.4,50.1,46.2,4.8
Aqueduct Racetrack,A,IND,Rockaway,Howard Beach & Ozone Park,Q,410,17.3,17,24.6,41.6,20064.91803,19165.29589,5257.702778,-0.722758307,-72.28%,609180,167957,20.8,14.1,21.5,22.4,50.1,46.2,4.8
Aqueduct - N Conduit Av,A,IND,Rockaway,Howard Beach & Ozone Park,Q,410,17.3,17,24.6,41.6,20064.91803,19165.29589,5257.702778,-0.584751427,-58.48%,273215,111898,20.8,14.1,21.5,22.4,50.1,46.2,4.8
Howard Beach - JFK Airport,A,IND,Rockaway,Howard Beach & Ozone Park,Q,410,17.3,17,24.6,41.6,20064.91803,19165.29589,5257.702778,-0.831942752,-83.19%,1488087,246658,20.8,14.1,21.5,22.4,50.1,46.2,4.8
Broad Channel,A S,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.593573162,-59.36%,96585,38717,27.2,14.1,34.2,29.8,42,51.1,5.1
Astoria Blvd,N W,BMT,Astoria,Astoria & Long Island City,Q,401,18.1,16.7,23.3,40,30823.3871,25651.47107,10245.85,-0.644004316,-64.40%,729130,1004776,14.5,13,48.3,46.4,37.4,40,4.5
Beach 90 St,A S,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.624392531,-62.44%,357494,132438,27.2,14.1,34.2,29.8,42,51.1,5.1
Beach 98 St,A S,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.605401772,-60.54%,168924,65744,27.2,14.1,34.2,29.8,42,51.1,5.1
Beach 105 St,A S,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.558949471,-55.89%,91520,39812,27.2,14.1,34.2,29.8,42,51.1,5.1
Rockaway Park - Beach 116 St,A S,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.495285913,-49.53%,242067,120501,27.2,14.1,34.2,29.8,42,51.1,5.1
Beach 67 St,A,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.481414855,-48.14%,737943,377444,27.2,14.1,34.2,29.8,42,51.1,5.1
Beach 60 St,A,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.488355369,-48.84%,638401,322160,27.2,14.1,34.2,29.8,42,51.1,5.1
Beach 44 St,A,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.474690752,-47.47%,227182,117706,27.2,14.1,34.2,29.8,42,51.1,5.1
Beach 36 St,A,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.485257857,-48.53%,301786,153214,27.2,14.1,34.2,29.8,42,51.1,5.1
Beach 25 St,A,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.499680429,-49.97%,533006,265200,27.2,14.1,34.2,29.8,42,51.1,5.1
Far Rockaway - Mott Av,A,IND,Rockaway,"Far Rockaway, Breezy Point & Broad Channel",Q,414,17.2,16.6,31.7,48.4,16425.42857,12183.62466,3534.005556,-0.468530945,-46.85%,1373309,719873,27.2,14.1,34.2,29.8,42,51.1,5.1
Norwood - 205 St,D,IND,Concourse,"Bedford Park, Fordham North & Norwood",Bx,207,27.4,30.8,36.4,67.3,73308.42105,5784.060274,2310.894444,-0.511651841,-51.17%,2675593,1288722,26.4,9.6,5.8,16.6,54.4,44.9,7.5
Bedford Park Blvd,B D,IND,Concourse,"Bedford Park, Fordham North & Norwood",Bx,207,27.4,30.8,36.4,67.3,73308.42105,5784.060274,2310.894444,-0.550386851,-55.04%,2216658,982986,26.4,9.6,5.8,16.6,54.4,44.9,7.5
Kingsbridge Rd,B D,IND,Concourse,"Bedford Park, Fordham North & Norwood",Bx,207,27.4,30.8,36.4,67.3,73308.42105,5784.060274,2310.894444,-0.531910133,-53.19%,2503593,1155853,26.4,9.6,5.8,16.6,54.4,44.9,7.5
Fordham Rd,B D,IND,Concourse,"Morris Heights, Fordham South & Mount Hope",Bx,205,35.6,37.1,36.2,73.3,91571.42857,5175.841096,2223.208333,-0.543560454,-54.36%,3720792,1675052,29.1,8.2,1.1,12.3,58.3,43.3,7.3
182-183 Sts,B D,IND,Concourse,"Morris Heights, Fordham South & Mount Hope",Bx,205,35.6,37.1,36.2,73.3,91571.42857,5175.841096,2223.208333,-0.509085756,-50.91%,1529005,740328,29.1,8.2,1.1,12.3,58.3,43.3,7.3
Tremont Av,B D,IND,Concourse,"Morris Heights, Fordham South & Mount Hope",Bx,205,35.6,37.1,36.2,73.3,91571.42857,5175.841096,2223.208333,-0.540507892,-54.05%,3082423,1396947,29.1,8.2,1.1,12.3,58.3,43.3,7.3
174-175 Sts,B D,IND,Concourse,"Morris Heights, Fordham South & Mount Hope",Bx,205,35.6,37.1,36.2,73.3,91571.42857,5175.841096,2223.208333,-0.496767999,-49.68%,1529664,759231,29.1,8.2,1.1,12.3,58.3,43.3,7.3
170 St,B D,IND,Concourse,"Concourse, Highbridge ",Bx,204,32.4,34.7,36.2,70.9,73220.5,7448.131507,2786.330556,-0.542435862,-54.24%,2146688,968792,27.3,9.9,2,15.6,53.9,42,6.3
167 St,B D,IND,Concourse,"Concourse, Highbridge ",Bx,204,32.4,34.7,36.2,70.9,73220.5,7448.131507,2786.330556,-0.501129029,-50.11%,2761113,1381276,27.3,9.9,2,15.6,53.9,42,6.3
Rector St,R W,BMT,Broadway,Battery Park City,M,101,8.8,7.9,6.7,14.6,40652,14598.75342,5420.066667,-0.712423957,-71.24%,2038164,578098,12.7,12.8,72.2,82.2,30.1,25.4,2.8
155 St,B D,IND,Concourse,Central Harlem,M,110,20.2,20.6,24.5,45.1,82659.28571,2977.073973,1308.75,-0.519907535,-51.99%,1145138,542241,20.4,10.4,14.2,38.6,38.6,37.2,6.2
21 St - Queensbridge,F,IND,63rd St,Astoria & Long Island City,Q,401,18.1,16.7,23.3,40,30823.3871,25651.47107,10245.85,-0.614704314,-61.47%,3540717,1345535,14.5,13,48.3,46.4,37.4,40,4.5
Roosevelt Island,F,IND,63rd St,Upper East Side,M,108,7.2,6.3,6.2,12.5,109960,4961.260274,2356.602778,-0.632004042,-63.20%,2389969,867451,14.6,20.8,75.3,80.5,32.5,31.4,2
Lexington Av/63 St,F Q,IND,63rd St,Upper East Side,M,108,7.2,6.3,6.2,12.5,109960,4961.260274,2356.602778,-0.638933914,-63.89%,6616040,2356104,14.6,20.8,75.3,80.5,32.5,31.4,2
57 St,F,IND,6th Av - Culver,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.67892236,-67.89%,4562723,1444920,8.2,13.4,59.1,74.1,33.9,26.7,3.5
47-50 Sts - Rockefeller Ctr,B D F M,IND,6th Av - Culver,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.700008843,-70.00%,18672656,5524897,8.2,13.4,59.1,74.1,33.9,26.7,3.5
23 St,F M,IND,6th Av - Culver,"Chelsea, Clinton",M,104,11.3,11.8,10.1,22,57358.33333,12978.71781,4862.4,-0.649584991,-64.96%,8507885,2940451,8.2,13.4,59.1,74.1,33.9,26.7,3.5
Grand St,B D,IND,6th Av - Culver,Chinatown & Lower East Side,M,103,19.3,21.5,27.4,48.8,96045.29412,3085.863014,1290.611111,-0.641950905,-64.20%,8053699,2844118,11.4,17.9,33.3,43.3,38.4,31.3,3.6
2 Av,F,IND,6th Av - Culver,Chinatown & Lower East Side,M,103,19.3,21.5,27.4,48.8,96045.29412,3085.863014,1290.611111,-0.676132203,-67.61%,5625896,1797087,11.4,17.9,33.3,43.3,38.4,31.3,3.6
East Broadway,F,IND,6th Av - Culver,Chinatown & Lower East Side,M,103,19.3,21.5,27.4,48.8,96045.29412,3085.863014,1290.611111,-0.639395349,-63.94%,4482228,1594171,11.4,17.9,33.3,43.3,38.4,31.3,3.6
York St,F,IND,6th Av - Culver,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.688214975,-68.82%,3943001,1212528,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Bergen St,F G,IND,6th Av - Culver,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.655402469,-65.54%,3579992,1216757,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Carroll St,F G,IND,6th Av - Culver,"Park Slope, Carroll Gardens & Red Hook",Bk,306,9.6,10,8.8,18.9,33777.09677,2843.870523,1338.936111,-0.653929204,-65.39%,3623923,1236954,21.2,10.4,64.1,73,28.8,38.4,4
Smith - 9 Sts,F G,IND,6th Av - Culver,"Park Slope, Carroll Gardens & Red Hook",Bk,306,9.6,10,8.8,18.9,33777.09677,2843.870523,1338.936111,-0.576715164,-57.67%,1451973,606179,21.2,10.4,64.1,73,28.8,38.4,4
7 Av,F G,IND,6th Av - Culver,"Park Slope, Carroll Gardens & Red Hook",Bk,306,9.6,10,8.8,18.9,33777.09677,2843.870523,1338.936111,-0.642472659,-64.25%,3701801,1305365,21.2,10.4,64.1,73,28.8,38.4,4
15 St - Prospect Park,F G,IND,6th Av - Culver,Sunset Park & Windsor Terrace,Bk,307,27.9,23.9,33,56.9,34116.21622,9325.815934,3749.643059,-0.653648966,-65.36%,1980580,676579,24,10.3,24.4,29.6,48.1,42.9,3.8
Fort Hamilton Pkwy,F G,IND,6th Av - Culver,Sunset Park & Windsor Terrace,Bk,307,27.9,23.9,33,56.9,34116.21622,9325.815934,3749.643059,-0.64997022,-65.00%,1809125,624573,24,10.3,24.4,29.6,48.1,42.9,3.8
Church Av,F,IND,6th Av - Culver,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.540777461,-54.08%,3130650,1417971,36.8,12.1,71.1,28.5,60.3,36.3,3.2
Ditmas Av,F,IND,6th Av - Culver,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.548210416,-54.82%,1185955,531374,36.8,12.1,71.1,28.5,60.3,36.3,3.2
18 Av,F,IND,6th Av - Culver,Flatbush & Midwood,Bk,314,21.5,20.4,26.9,47.3,55401.37931,11533.44932,4322.875,-0.549105736,-54.91%,1126218,500849,25.1,13.1,40.8,38,48.6,42.7,4.4
Avenue I,F,IND,6th Av - Culver,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.551601775,-55.16%,592752,262148,36.8,12.1,71.1,28.5,60.3,36.3,3.2
Bay Pkwy,F,IND,6th Av - Culver,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.535849354,-53.58%,370360,169548,36.8,12.1,71.1,28.5,60.3,36.3,3.2
