month,state,county,date,driving,transit,walking
Feb,New York,BRONX,2020/2/17,-3.22,-11.47,-5.25
Feb,New York,BROOKLYN,2020/2/17,6.68,12.8,19.1
Feb,New York,MANHATTAN,2020/2/17,5.53,-3.58,18.76
Feb,New York,QUEENS,2020/2/17,1.85,3.31,5.37
Feb,New York,STATEN ISLAND,2020/2/17,1.44,3.68,-1.94
Feb,New York,BRONX,2020/2/18,1.35,0.19,2.14
Feb,New York,BROOKLYN,2020/2/18,4.7,8.25,4.46
Feb,New York,MANHATTAN,2020/2/18,1.68,-5.79,6.36
Feb,New York,QUEENS,2020/2/18,4.02,2.06,2.32
Feb,New York,STATEN ISLAND,2020/2/18,5.67,19.35,0.74
Feb,New York,BRONX,2020/2/19,3.5,-0.76,6.84
Feb,New York,BROOKLYN,2020/2/19,8.05,10.25,9.14
Feb,New York,MANHATTAN,2020/2/19,6.02,-0.31,15.04
Feb,New York,QUEENS,2020/2/19,5.73,2.69,3.63
Feb,New York,STATEN ISLAND,2020/2/19,9.43,17.03,12.38
Feb,New York,BRONX,2020/2/20,4.6,-2.68,-2.45
Feb,New York,BROOKLYN,2020/2/20,8.02,8.75,5.63
Feb,New York,MANHATTAN,2020/2/20,11.83,3.89,16.01
Feb,New York,QUEENS,2020/2/20,7.05,3.68,1.77
Feb,New York,STATEN ISLAND,2020/2/20,10.18,12.5,10.23
Feb,New York,BRONX,2020/2/21,20.31,0.9,10.24
Feb,New York,BROOKLYN,2020/2/21,22.21,20.24,25.84
Feb,New York,MANHATTAN,2020/2/21,32.35,19.98,39.26
Feb,New York,QUEENS,2020/2/21,18.06,6.23,13.64
Feb,New York,STATEN ISLAND,2020/2/21,24.22,14.05,21.18
Feb,New York,BRONX,2020/2/22,18.45,-4.51,17.62
Feb,New York,BROOKLYN,2020/2/22,31.21,33.88,60.13
Feb,New York,MANHATTAN,2020/2/22,40.44,20.39,61.14
Feb,New York,QUEENS,2020/2/22,18.06,4.03,26.73
Feb,New York,STATEN ISLAND,2020/2/22,22.28,6.83,26.69
Feb,New York,BRONX,2020/2/23,-6.98,-27.28,-14.9
Feb,New York,BROOKLYN,2020/2/23,6.36,2.15,21.67
Feb,New York,MANHATTAN,2020/2/23,3.3,-13.93,10.01
Feb,New York,QUEENS,2020/2/23,-4.24,-19.08,-5.3
Feb,New York,STATEN ISLAND,2020/2/23,-5.57,-14.61,-4.75
Feb,New York,BRONX,2020/2/24,2.99,-5.99,2.29
Feb,New York,BROOKLYN,2020/2/24,2.51,-0.42,3.93
Feb,New York,MANHATTAN,2020/2/24,-5.65,-13.63,-4.25
Feb,New York,QUEENS,2020/2/24,1.62,-8.17,-2.65
Feb,New York,STATEN ISLAND,2020/2/24,1.99,2.38,5.32
Feb,New York,BRONX,2020/2/25,4.53,-7.04,-2.31
Feb,New York,BROOKLYN,2020/2/25,3.5,-2.14,-5.4
Feb,New York,MANHATTAN,2020/2/25,-2.54,-11.08,-7.66
Feb,New York,QUEENS,2020/2/25,5.13,-8.55,-5.94
Feb,New York,STATEN ISLAND,2020/2/25,5.39,2.33,-2.23
Feb,New York,BRONX,2020/2/26,8.2,-4.21,5.04
Feb,New York,BROOKLYN,2020/2/26,5.74,1.47,-0.34
Feb,New York,MANHATTAN,2020/2/26,0.31,-7.58,1.15
Feb,New York,QUEENS,2020/2/26,4.86,-8.91,-2.96
Feb,New York,STATEN ISLAND,2020/2/26,11.59,3.63,-0.47
Feb,New York,BRONX,2020/2/27,9.89,-7.58,-2.32
Feb,New York,BROOKLYN,2020/2/27,10.24,1.92,1.47
Feb,New York,MANHATTAN,2020/2/27,7.15,-1.96,3.93
Feb,New York,QUEENS,2020/2/27,10.15,-6.5,-6.68
Feb,New York,STATEN ISLAND,2020/2/27,11.64,2.74,-5.14
Feb,New York,BRONX,2020/2/28,30.8,2.4,16.32
Feb,New York,BROOKLYN,2020/2/28,29.61,20.03,28.97
Feb,New York,MANHATTAN,2020/2/28,31.44,18.59,33.24
Feb,New York,QUEENS,2020/2/28,26.23,4.49,15.62
Feb,New York,STATEN ISLAND,2020/2/28,34,11.86,25.03
Feb,New York,BRONX,2020/2/29,23.17,-6.03,14.03
Feb,New York,BROOKLYN,2020/2/29,34.78,32.2,48.54
Feb,New York,MANHATTAN,2020/2/29,33.45,17.68,41.21
Feb,New York,QUEENS,2020/2/29,21.44,2.07,18.65
Feb,New York,STATEN ISLAND,2020/2/29,28.04,5.6,23.86
Mar,New York,BRONX,2020/3/1,-5.59,-27.43,-16.39
Mar,New York,BROOKLYN,2020/3/1,6.46,0.15,12.21
Mar,New York,MANHATTAN,2020/3/1,-0.24,-15.11,2.44
Mar,New York,QUEENS,2020/3/1,-2.82,-17.33,-6.73
Mar,New York,STATEN ISLAND,2020/3/1,6.46,-11.48,59.03
Mar,New York,BRONX,2020/3/2,11.02,-4.41,7.63
Mar,New York,BROOKLYN,2020/3/2,5.42,2.58,9.79
Mar,New York,MANHATTAN,2020/3/2,-3.7,-12.78,0.47
Mar,New York,QUEENS,2020/3/2,3.05,-8.36,-0.63
Mar,New York,STATEN ISLAND,2020/3/2,1.94,5.47,7.18
Mar,New York,BRONX,2020/3/3,6.93,-5.96,2.81
Mar,New York,BROOKLYN,2020/3/3,8.1,3.12,3.12
Mar,New York,MANHATTAN,2020/3/3,-1.26,-9.78,-2.61
Mar,New York,QUEENS,2020/3/3,5.1,-8.91,-5.15
Mar,New York,STATEN ISLAND,2020/3/3,5.83,5.75,-0.16
Mar,New York,BRONX,2020/3/4,8.9,-2.74,11.79
Mar,New York,BROOKLYN,2020/3/4,11.91,11.89,17.7
Mar,New York,MANHATTAN,2020/3/4,3.39,-5.61,8.45
Mar,New York,QUEENS,2020/3/4,6.67,-3.97,4.18
Mar,New York,STATEN ISLAND,2020/3/4,12.06,12.87,9.19
Mar,New York,BRONX,2020/3/5,13.32,-4.97,7.71
Mar,New York,BROOKLYN,2020/3/5,16.17,10.35,19.07
Mar,New York,MANHATTAN,2020/3/5,10.85,-0.67,15.85
Mar,New York,QUEENS,2020/3/5,10.04,-5.45,3.49
Mar,New York,STATEN ISLAND,2020/3/5,12.29,7.54,16.07
Mar,New York,BRONX,2020/3/6,28.64,-1.77,13.88
Mar,New York,BROOKLYN,2020/3/6,30.74,17.08,22.87
Mar,New York,MANHATTAN,2020/3/6,25.92,10.15,21.72
Mar,New York,QUEENS,2020/3/6,23.14,-0.16,6.04
Mar,New York,STATEN ISLAND,2020/3/6,28.94,8.61,17.17
Mar,New York,BRONX,2020/3/7,21.1,-3.63,17.45
Mar,New York,BROOKLYN,2020/3/7,38,39.24,62.05
Mar,New York,MANHATTAN,2020/3/7,32.34,13.11,49.46
Mar,New York,QUEENS,2020/3/7,20.11,3.68,27.44
Mar,New York,STATEN ISLAND,2020/3/7,27.4,3.79,25.83
Mar,New York,BRONX,2020/3/8,-5.81,-25.81,-10.41
Mar,New York,BROOKLYN,2020/3/8,7.54,3.62,27.92
Mar,New York,MANHATTAN,2020/3/8,-0.36,-17.45,9.48
Mar,New York,QUEENS,2020/3/8,-4.87,-18.86,-1.27
Mar,New York,STATEN ISLAND,2020/3/8,-0.73,-15.25,2.68
Mar,New York,BRONX,2020/3/9,8.89,-6.24,12.22
Mar,New York,BROOKLYN,2020/3/9,8.69,2.56,20.12
Mar,New York,MANHATTAN,2020/3/9,0.97,-13.16,13.63
Mar,New York,QUEENS,2020/3/9,4.75,-7.35,8.25
Mar,New York,STATEN ISLAND,2020/3/9,8.11,8.79,13.59
Mar,New York,BRONX,2020/3/10,3.64,-10.47,4
Mar,New York,BROOKLYN,2020/3/10,3.53,-5.23,6.67
Mar,New York,MANHATTAN,2020/3/10,-4.96,-20.13,-0.26
Mar,New York,QUEENS,2020/3/10,-0.55,-15.9,-1.27
Mar,New York,STATEN ISLAND,2020/3/10,4.53,-3.79,5.08
Mar,New York,BRONX,2020/3/11,0.13,-11.95,5.81
Mar,New York,BROOKLYN,2020/3/11,3.56,-6.66,7.68
Mar,New York,MANHATTAN,2020/3/11,-11.47,-25.31,-8.21
Mar,New York,QUEENS,2020/3/11,-0.25,-17.24,-3.01
Mar,New York,STATEN ISLAND,2020/3/11,3.8,-4.24,3.03
Mar,New York,BRONX,2020/3/12,-4.13,-22.95,-6.12
Mar,New York,BROOKLYN,2020/3/12,0.82,-16.62,-1.59
Mar,New York,MANHATTAN,2020/3/12,-20.89,-39.85,-25.29
Mar,New York,QUEENS,2020/3/12,-3.93,-27.39,-11.14
Mar,New York,STATEN ISLAND,2020/3/12,-4,-20.04,-8.1
Mar,New York,BRONX,2020/3/13,7.15,-23,5.08
Mar,New York,BROOKLYN,2020/3/13,10.31,-17.82,11.71
Mar,New York,MANHATTAN,2020/3/13,-22.63,-45.43,-28.95
Mar,New York,QUEENS,2020/3/13,5.21,-28.31,0.81
Mar,New York,STATEN ISLAND,2020/3/13,6.16,-18.56,13.92
Mar,New York,BRONX,2020/3/14,-5.47,-33.61,-2.78
Mar,New York,BROOKLYN,2020/3/14,-2.5,-24.38,12.75
Mar,New York,MANHATTAN,2020/3/14,-37.28,-53.45,-39.12
Mar,New York,QUEENS,2020/3/14,-8.71,-37.2,-0.52
Mar,New York,STATEN ISLAND,2020/3/14,-6.3,-34.13,6.96
Mar,New York,BRONX,2020/3/15,-28.19,-48.7,-28.46
Mar,New York,BROOKLYN,2020/3/15,-26.58,-46.87,-21.44
Mar,New York,MANHATTAN,2020/3/15,-56.47,-70.95,-64.08
Mar,New York,QUEENS,2020/3/15,-30.11,-52.87,-25.35
Mar,New York,STATEN ISLAND,2020/3/15,-32.07,-49.19,-20.2
Mar,New York,BRONX,2020/3/16,-21.75,-44.9,-23.31
Mar,New York,BROOKLYN,2020/3/16,-22.66,-52.54,-34
Mar,New York,MANHATTAN,2020/3/16,-59.17,-77.08,-74.44
Mar,New York,QUEENS,2020/3/16,-25.43,-54.39,-30.38
Mar,New York,STATEN ISLAND,2020/3/16,-26.18,-46.78,-23.17
Mar,New York,BRONX,2020/3/17,-27.34,-51.5,-28.03
Mar,New York,BROOKLYN,2020/3/17,-28.7,-60.18,-39.49
Mar,New York,MANHATTAN,2020/3/17,-66.03,-82.36,-81.59
