Date,Borough,count
20200326,Brooklyn,4545
20200326,Manhattan,16376
20200326,Queen,1075
20200327,Brooklyn,5873
20200327,Manhattan,19318
20200327,Queen,1313
20200328,Brooklyn,1747
20200328,Manhattan,6803
20200328,Queen,321
20200329,Brooklyn,1899
20200329,Manhattan,7415
20200329,Queen,332
20200330,Brooklyn,2880
20200330,Manhattan,11581
20200330,Queen,580
20200331,Brooklyn,2762
20200331,Manhattan,11573
20200331,Queen,661
20200401,Brooklyn,4240
20200401,Manhattan,15228
20200401,Queen,895
20200402,Brooklyn,3656
20200402,Manhattan,14557
20200402,Queen,799
20200403,Brooklyn,2259
20200403,Manhattan,8667
20200403,Queen,383
20200404,Brooklyn,6554
20200404,Manhattan,20892
20200404,Queen,1421
20200405,Brooklyn,5644
20200405,Manhattan,18898
20200405,Queen,1213
20200406,Brooklyn,5433
20200406,Manhattan,18025
20200406,Queen,1202
20200407,Brooklyn,4816
20200407,Manhattan,17608
20200407,Queen,1222
20200408,Brooklyn,4042
20200408,Manhattan,15676
20200408,Queen,1026
20200409,Brooklyn,2487
20200409,Manhattan,11150
20200409,Queen,555
20200410,Brooklyn,2876
20200410,Manhattan,12690
20200410,Queen,710
20200411,Brooklyn,7693
20200411,Manhattan,23783
20200411,Queen,1666
20200412,Brooklyn,7567
20200412,Manhattan,22583
20200412,Queen,1414
20200413,Brooklyn,1879
20200413,Manhattan,5630
20200413,Queen,288
20200414,Brooklyn,5595
20200414,Manhattan,18391
20200414,Queen,1297
20200415,Brooklyn,4529
20200415,Manhattan,16567
20200415,Queen,1092
20200416,Brooklyn,3784
20200416,Manhattan,14882
20200416,Queen,904
20200417,Brooklyn,3734
20200417,Manhattan,14425
20200417,Queen,734
20200418,Brooklyn,3350
20200418,Manhattan,11952
20200418,Queen,607
20200419,Brooklyn,11157
20200419,Manhattan,33665
20200419,Queen,2227
20200420,Brooklyn,4473
20200420,Manhattan,16472
20200420,Queen,937
20200421,Brooklyn,3184
20200421,Manhattan,13170
20200421,Queen,696
20200422,Brooklyn,5140
20200422,Manhattan,17664
20200422,Queen,979
20200423,Brooklyn,3642
20200423,Manhattan,14647
20200423,Queen,836
20200424,Brooklyn,2232
20200424,Manhattan,9890
20200424,Queen,488
20200425,Brooklyn,14321
20200425,Manhattan,41503
20200425,Queen,3074
20200426,Brooklyn,1979
20200426,Manhattan,7283
20200426,Queen,324
20200427,Brooklyn,3292
20200427,Manhattan,13789
20200427,Queen,714
20200428,Brooklyn,8754
20200428,Manhattan,28740
20200428,Queen,2125
20200429,Brooklyn,4160
20200429,Manhattan,16623
20200429,Queen,870
20200430,Brooklyn,2625
20200430,Manhattan,11346
20200430,Queen,571
20200501,Brooklyn,4916
20200501,Manhattan,18856
20200501,Queen,1173
20200502,Brooklyn,17674
20200502,Manhattan,50924
20200502,Queen,4210
20200503,Brooklyn,15628
20200503,Manhattan,44494
20200503,Queen,3609
20200504,Brooklyn,6768
20200504,Manhattan,23925
20200504,Queen,1663
20200505,Brooklyn,7531
20200505,Manhattan,25748
20200505,Queen,1799
20200506,Brooklyn,3363
20200506,Manhattan,13165
20200506,Queen,746
20200507,Bronx,12
20200507,Brooklyn,9576
20200507,Manhattan,31743
20200507,Queen,2346
20200508,Bronx,10
20200508,Brooklyn,3729
20200508,Manhattan,12875
20200508,Queen,712
20200509,Bronx,19
20200509,Brooklyn,5943
20200509,Manhattan,20506
20200509,Queen,1279
20200510,Bronx,56
20200510,Brooklyn,13271
20200510,Manhattan,38303
20200510,Queen,2874
20200511,Bronx,23
20200511,Brooklyn,4649
20200511,Manhattan,17086
20200511,Queen,971
20200512,Bronx,46
20200512,Brooklyn,7412
20200512,Manhattan,26760
20200512,Queen,1780
20200513,Bronx,62
20200513,Brooklyn,8714
20200513,Manhattan,29676
20200513,Queen,2140
20200514,Bronx,72
20200514,Brooklyn,8826
20200514,Manhattan,30393
20200514,Queen,2295
20200515,Bronx,146
20200515,Brooklyn,11810
20200515,Manhattan,38045
20200515,Queen,2902
20200516,Bronx,165
20200516,Brooklyn,20026
20200516,Manhattan,55682
20200516,Queen,4419
20200517,Bronx,159
20200517,Brooklyn,15372
20200517,Manhattan,44090
20200517,Queen,3932
20200518,Bronx,128
20200518,Brooklyn,8124
20200518,Manhattan,28923
20200518,Queen,1979
20200519,Bronx,143
20200519,Brooklyn,8610
20200519,Manhattan,30118
20200519,Queen,2063
20200520,Bronx,128
20200520,Brooklyn,9622
20200520,Manhattan,33513
20200520,Queen,2295
20200521,Bronx,125
20200521,Brooklyn,10253
20200521,Manhattan,35651
20200521,Queen,2531
20200522,Bronx,128
20200522,Brooklyn,10136
20200522,Manhattan,34706
20200522,Queen,2471
20200523,Bronx,50
20200523,Brooklyn,4775
20200523,Manhattan,17053
20200523,Queen,1134
20200524,Bronx,193
20200524,Brooklyn,18446
20200524,Manhattan,50328
20200524,Queen,3922
20200525,Bronx,174
20200525,Brooklyn,16554
20200525,Manhattan,47176
20200525,Queen,3972
20200526,Bronx,189
20200526,Brooklyn,11030
20200526,Manhattan,38863
20200526,Queen,2980
20200527,Bronx,253
20200527,Brooklyn,11399
20200527,Manhattan,40498
20200527,Queen,2921
20200528,Bronx,175
20200528,Brooklyn,9052
20200528,Manhattan,34552
20200528,Queen,2312
20200529,Bronx,210
20200529,Brooklyn,11678
20200529,Manhattan,38749
20200529,Queen,2719
20200530,Bronx,308
20200530,Brooklyn,20877
20200530,Manhattan,60863
20200530,Queen,5033
20200531,Bronx,293
20200531,Brooklyn,20266
20200531,Manhattan,55663
20200531,Queen,4484
20200601,Bronx,211
20200601,Brooklyn,11153
20200601,Manhattan,38832
20200601,Queen,2730
20200602,Bronx,149
20200602,Brooklyn,9777
20200602,Manhattan,34486
20200602,Queen,2059
20200603,Bronx,101
20200603,Brooklyn,5805
20200603,Manhattan,21434
20200603,Queen,1426
20200604,Bronx,165
20200604,Brooklyn,8401
20200604,Manhattan,28889
20200604,Queen,2204
20200605,Bronx,102
20200605,Brooklyn,6779
20200605,Manhattan,24598
20200605,Queen,1585
20200606,Bronx,189
